symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-02-02 02:00:00,1318.5,1328.06,1316.48,1326.0,22417.77673,0.0,1
ethusdt,BINANCE,2021-02-02 03:00:00,1325.99,1334.0,1324.56,1332.74,23215.20463,0.0,1
ethusdt,BINANCE,2021-02-02 04:00:00,1332.74,1340.0,1332.07,1336.03,28663.07093,0.0,1
ethusdt,BINANCE,2021-02-02 05:00:00,1336.06,1352.0,1329.37,1350.12,32715.64581,0.0,1
ethusdt,BINANCE,2021-02-02 06:00:00,1349.99,1364.9,1343.06,1357.36,48537.22062,0.0,1
ethusdt,BINANCE,2021-02-02 07:00:00,1357.48,1377.99,1356.2,1374.17,56147.14963,0.0,1
ethusdt,BINANCE,2021-02-02 08:00:00,1374.09,1411.02,1373.85,1380.61,119384.73942,0.0,1
ethusdt,BINANCE,2021-02-02 09:00:00,1380.61,1387.62,1367.0,1381.43,46579.2161,0.0,1
ethusdt,BINANCE,2021-02-02 10:00:00,1381.51,1390.0,1369.0,1372.67,41979.72418,0.0,1
ethusdt,BINANCE,2021-02-02 11:00:00,1372.67,1377.0,1360.28,1368.79,33603.2584,0.0,1
ethusdt,BINANCE,2021-02-02 12:00:00,1368.8,1385.95,1367.5,1380.87,32995.13048,0.0,1
ethusdt,BINANCE,2021-02-02 13:00:00,1380.84,1396.3,1378.0,1388.08,35963.2457,0.0,1
ethusdt,BINANCE,2021-02-02 14:00:00,1388.08,1410.71,1387.92,1405.0,63913.21042,0.0,1
ethusdt,BINANCE,2021-02-02 15:00:00,1405.18,1425.99,1404.04,1415.0,98975.13406,0.0,1
ethusdt,BINANCE,2021-02-02 16:00:00,1415.0,1454.78,1405.62,1451.29,148891.97774,0.0,1
ethusdt,BINANCE,2021-02-02 17:00:00,1451.26,1458.0,1426.38,1436.82,121037.48205,0.0,1
ethusdt,BINANCE,2021-02-02 18:00:00,1436.93,1447.34,1427.63,1439.65,54232.30713,0.0,1
ethusdt,BINANCE,2021-02-02 19:00:00,1439.66,1448.48,1411.55,1419.58,72321.88302,0.0,1
ethusdt,BINANCE,2021-02-02 20:00:00,1419.58,1436.31,1408.0,1424.81,53499.40799,0.0,1
ethusdt,BINANCE,2021-02-02 21:00:00,1424.92,1443.04,1420.54,1426.81,49478.94171,0.0,1
ethusdt,BINANCE,2021-02-02 22:00:00,1426.81,1436.88,1411.46,1432.48,69318.27631,0.0,1
ethusdt,BINANCE,2021-02-02 23:00:00,1432.3,1447.71,1421.02,1427.87,71979.67767,0.0,1
ethusdt,BINANCE,2021-02-03 00:00:00,1427.88,1500.0,1421.56,1493.51,226229.56067,0.0,1
ethusdt,BINANCE,2021-02-03 01:00:00,1493.45,1499.99,1464.06,1472.94,104185.83737,0.0,1
ethusdt,BINANCE,2021-02-03 02:00:00,1472.99,1493.0,1468.41,1490.29,56108.55855,0.0,1
ethusdt,BINANCE,2021-02-03 03:00:00,1490.28,1516.62,1480.12,1516.13,95788.4846,0.0,1
ethusdt,BINANCE,2021-02-03 04:00:00,1516.29,1541.13,1497.12,1532.49,146176.70853,0.0,1
ethusdt,BINANCE,2021-02-03 05:00:00,1532.49,1536.73,1513.26,1519.22,74696.48682,0.0,1
ethusdt,BINANCE,2021-02-03 06:00:00,1519.08,1547.9,1515.88,1534.46,68377.9091,0.0,1
ethusdt,BINANCE,2021-02-03 07:00:00,1534.74,1538.84,1510.0,1511.87,58510.84076,0.0,1
ethusdt,BINANCE,2021-02-03 08:00:00,1511.93,1533.0,1511.87,1519.39,56348.1442,0.0,1
ethusdt,BINANCE,2021-02-03 09:00:00,1519.44,1529.76,1510.2,1519.21,43206.443,0.0,1
ethusdt,BINANCE,2021-02-03 10:00:00,1519.21,1529.66,1508.39,1529.12,44394.57573,0.0,1
ethusdt,BINANCE,2021-02-03 11:00:00,1529.3,1548.0,1527.87,1539.57,52880.02728,0.0,1
ethusdt,BINANCE,2021-02-03 12:00:00,1539.71,1561.88,1537.69,1554.16,70626.24532,0.0,1
ethusdt,BINANCE,2021-02-03 13:00:00,1554.15,1555.0,1538.81,1543.0,44800.04307,0.0,1
ethusdt,BINANCE,2021-02-03 14:00:00,1543.01,1571.0,1541.91,1566.0,58525.58495,0.0,1
ethusdt,BINANCE,2021-02-03 15:00:00,1565.99,1566.0,1542.2,1547.09,57835.09895,0.0,1
ethusdt,BINANCE,2021-02-03 16:00:00,1547.15,1550.0,1512.38,1530.14,92540.3339,0.0,1
ethusdt,BINANCE,2021-02-03 17:00:00,1530.26,1548.0,1513.26,1529.03,66404.04108,0.0,1
ethusdt,BINANCE,2021-02-03 18:00:00,1528.97,1551.12,1521.15,1547.25,45083.94644,0.0,1
ethusdt,BINANCE,2021-02-03 19:00:00,1547.33,1560.0,1534.0,1537.68,56990.00896,0.0,1
ethusdt,BINANCE,2021-02-03 20:00:00,1537.93,1554.12,1523.24,1539.78,56536.14247,0.0,1
ethusdt,BINANCE,2021-02-03 21:00:00,1539.75,1564.74,1530.25,1550.68,58865.04773,0.0,1
ethusdt,BINANCE,2021-02-03 22:00:00,1550.68,1559.0,1538.18,1555.13,50651.33289,0.0,1
ethusdt,BINANCE,2021-02-03 23:00:00,1555.12,1599.86,1551.08,1597.25,117769.77788,0.0,1
ethusdt,BINANCE,2021-02-04 00:00:00,1597.56,1615.5,1580.1,1607.21,124983.68869,0.0,1
ethusdt,BINANCE,2021-02-04 01:00:00,1607.21,1642.26,1600.12,1640.25,94156.11597,0.0,-1
ethusdt,BINANCE,2021-02-04 02:00:00,1640.24,1650.0,1621.08,1647.82,72604.57372,0.0,-1
ethusdt,BINANCE,2021-02-04 03:00:00,1647.82,1649.73,1616.09,1616.1,61083.82137,0.0,1
ethusdt,BINANCE,2021-02-04 04:00:00,1616.1,1638.0,1600.44,1634.43,66393.69006,0.0,-1
ethusdt,BINANCE,2021-02-04 05:00:00,1634.51,1644.45,1620.09,1630.99,48649.49905,0.0,-1
ethusdt,BINANCE,2021-02-04 06:00:00,1631.0,1648.0,1628.48,1636.61,36664.59947,0.0,-1
ethusdt,BINANCE,2021-02-04 07:00:00,1636.66,1669.35,1630.7,1664.49,57877.10583,0.0,-1
ethusdt,BINANCE,2021-02-04 08:00:00,1664.67,1679.9,1661.25,1677.53,65639.52986,0.0,-1
ethusdt,BINANCE,2021-02-04 09:00:00,1677.41,1695.0,1675.51,1691.29,69635.82566,0.0,-1
ethusdt,BINANCE,2021-02-04 10:00:00,1691.32,1695.2,1646.0,1677.71,78701.73345,0.0,-1
ethusdt,BINANCE,2021-02-04 11:00:00,1677.43,1685.0,1632.51,1645.84,64048.43408,0.0,-1
ethusdt,BINANCE,2021-02-04 12:00:00,1645.85,1667.2,1635.0,1662.49,39681.10096,0.0,-1
ethusdt,BINANCE,2021-02-04 13:00:00,1662.61,1671.0,1649.0,1655.2,41154.75226,0.0,-1
ethusdt,BINANCE,2021-02-04 14:00:00,1655.21,1683.0,1649.01,1676.58,47222.09574,0.0,-1
ethusdt,BINANCE,2021-02-04 15:00:00,1676.58,1683.16,1662.17,1662.83,42963.47816,0.0,-1
ethusdt,BINANCE,2021-02-04 16:00:00,1662.52,1684.66,1626.0,1638.44,78197.50964,0.0,-1
ethusdt,BINANCE,2021-02-04 17:00:00,1638.5,1646.47,1570.96,1645.04,173074.85768,0.0,-1
ethusdt,BINANCE,2021-02-04 18:00:00,1644.97,1651.47,1632.11,1640.51,57597.87177,0.0,-1
ethusdt,BINANCE,2021-02-04 19:00:00,1640.21,1645.48,1611.72,1611.74,67094.67625,0.0,1
ethusdt,BINANCE,2021-02-04 20:00:00,1611.77,1643.21,1605.68,1635.48,55593.53691,0.0,-1
ethusdt,BINANCE,2021-02-04 21:00:00,1635.48,1638.78,1618.01,1631.9,40321.25904,0.0,-1
ethusdt,BINANCE,2021-02-04 22:00:00,1631.89,1640.0,1586.01,1591.75,96024.38272,0.0,1
ethusdt,BINANCE,2021-02-04 23:00:00,1591.76,1603.38,1554.44,1580.88,141945.7208,0.0,1
ethusdt,BINANCE,2021-02-05 00:00:00,1580.8,1633.07,1565.0,1629.19,96559.99174,0.0,1
ethusdt,BINANCE,2021-02-05 01:00:00,1629.19,1649.3,1623.33,1631.74,81251.28431,0.0,1
ethusdt,BINANCE,2021-02-05 02:00:00,1631.73,1653.96,1627.92,1653.18,49354.05584,0.0,-1
ethusdt,BINANCE,2021-02-05 03:00:00,1653.04,1664.51,1636.9,1652.99,68682.38358,0.0,-1
ethusdt,BINANCE,2021-02-05 04:00:00,1652.96,1670.67,1639.17,1657.18,53801.48344,0.0,-1
ethusdt,BINANCE,2021-02-05 05:00:00,1657.18,1661.81,1627.51,1639.62,35907.28368,0.0,1
ethusdt,BINANCE,2021-02-05 06:00:00,1639.53,1640.52,1600.0,1625.69,50681.31191,0.0,1
ethusdt,BINANCE,2021-02-05 07:00:00,1625.69,1628.74,1588.0,1595.67,51367.77014,0.0,1
ethusdt,BINANCE,2021-02-05 08:00:00,1595.53,1623.0,1591.0,1614.66,49458.98822,0.0,1
ethusdt,BINANCE,2021-02-05 09:00:00,1614.74,1624.55,1594.42,1596.77,37994.37626,0.0,1
ethusdt,BINANCE,2021-02-05 10:00:00,1596.7,1620.0,1594.41,1617.9,34803.35868,0.0,1
ethusdt,BINANCE,2021-02-05 11:00:00,1617.9,1653.21,1614.05,1639.99,55991.51062,0.0,1
ethusdt,BINANCE,2021-02-05 12:00:00,1639.99,1643.92,1628.51,1634.45,23704.2485,0.0,1
ethusdt,BINANCE,2021-02-05 13:00:00,1634.59,1644.96,1622.24,1631.09,25093.63364,0.0,1
ethusdt,BINANCE,2021-02-05 14:00:00,1631.24,1663.08,1631.08,1645.27,46302.30888,0.0,1
ethusdt,BINANCE,2021-02-05 15:00:00,1645.27,1669.5,1645.26,1662.36,47763.71493,0.0,1
ethusdt,BINANCE,2021-02-05 16:00:00,1662.6,1674.37,1648.19,1667.43,48566.99119,0.0,1
ethusdt,BINANCE,2021-02-05 17:00:00,1667.57,1676.27,1650.0,1650.73,42885.45822,0.0,1
ethusdt,BINANCE,2021-02-05 18:00:00,1650.72,1666.86,1641.22,1644.28,41909.74582,0.0,1
ethusdt,BINANCE,2021-02-05 19:00:00,1644.21,1663.8,1642.57,1662.78,27456.99148,0.0,1
ethusdt,BINANCE,2021-02-05 20:00:00,1662.79,1677.19,1657.35,1661.16,49726.78257,0.0,1
ethusdt,BINANCE,2021-02-05 21:00:00,1661.04,1721.5,1660.79,1716.78,87759.59821,0.0,-1
ethusdt,BINANCE,2021-02-05 22:00:00,1716.57,1748.0,1706.63,1737.72,109587.8345,0.0,-1
ethusdt,BINANCE,2021-02-05 23:00:00,1737.7,1748.0,1719.02,1741.99,74125.89803,0.0,-1
ethusdt,BINANCE,2021-02-06 00:00:00,1742.0,1760.49,1701.8,1724.47,100940.46325,0.0,-1
ethusdt,BINANCE,2021-02-06 01:00:00,1724.47,1733.0,1713.16,1726.97,50040.82786,0.0,-1
ethusdt,BINANCE,2021-02-06 02:00:00,1726.99,1729.0,1683.0,1684.19,70833.63939,0.0,-1
ethusdt,BINANCE,2021-02-06 03:00:00,1684.41,1716.5,1682.0,1709.91,49639.06795,0.0,-1
ethusdt,BINANCE,2021-02-06 04:00:00,1710.02,1724.0,1695.0,1720.52,37302.83774,0.0,-1
ethusdt,BINANCE,2021-02-06 05:00:00,1720.58,1726.45,1710.0,1719.01,26597.85926,0.0,-1
ethusdt,BINANCE,2021-02-06 06:00:00,1719.01,1719.01,1700.0,1701.72,23959.94484,0.0,-1
ethusdt,BINANCE,2021-02-06 07:00:00,1701.72,1724.92,1700.08,1719.19,31677.21942,0.0,-1
ethusdt,BINANCE,2021-02-06 08:00:00,1718.95,1743.67,1717.99,1727.46,46714.50955,0.0,-1
ethusdt,BINANCE,2021-02-06 09:00:00,1727.45,1729.48,1645.48,1672.96,128149.00233,0.0,-1
ethusdt,BINANCE,2021-02-06 10:00:00,1672.96,1692.5,1661.63,1679.52,71118.81732,0.0,-1
ethusdt,BINANCE,2021-02-06 11:00:00,1679.53,1687.77,1662.26,1682.19,51598.74796,0.0,-1
ethusdt,BINANCE,2021-02-06 12:00:00,1682.19,1682.51,1665.48,1671.97,34074.05852,0.0,-1
ethusdt,BINANCE,2021-02-06 13:00:00,1671.98,1673.89,1642.94,1660.91,68985.31128,0.0,-1
ethusdt,BINANCE,2021-02-06 14:00:00,1660.9,1681.18,1657.97,1679.02,37617.14685,0.0,-1
ethusdt,BINANCE,2021-02-06 15:00:00,1679.0,1682.0,1672.12,1673.32,30849.72666,0.0,-1
